tract,design,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
17031010100,1,625.7623641900718,275.01694292761385,0.5605089748668889
17031010201,1,619.507468521595,316.140071362257,0.48969126697261617
17031010202,1,364.3695212304592,214.9518859833479,0.4100717171472927
17031010300,1,830.7477536201477,514.1516064405441,0.38109780712613817
17031010400,1,507.33308508992195,319.18159598112106,0.37086382622858527
17031010501,1,531.0295133590698,311.6584939956665,0.41310513605120425
17031010502,1,444.4708595275879,253.10176277160645,0.43055487812942517
17031010600,1,799.5255278944969,531.7001454532146,0.3349804016221778
17031010701,1,473.62232971191406,229.07846176624298,0.5163267282909096
17031010702,1,551.142654210329,336.98102383315563,0.38857749212682835
17031020100,1,405.00964617729187,190.03802573680878,0.5307814825387637
17031020200,1,900.8278817534447,330.68186216056347,0.6329133801710296
17031020301,1,726.878180027008,221.88806116580963,0.6947383106787369
17031020302,1,726.1563422679901,284.1706934571266,0.6086645851366088
17031020400,1,699.0000026226044,215.9999989271164,0.6909871271577999
17031020500,1,406.88827633857727,197.77145093679428,0.5139416335204852
17031020601,1,444.5724143087864,198.44413688778877,0.553629216521843
17031020602,1,344.60495445132256,186.5235124528408,0.45873235412467545
17031020701,1,430.5437116920948,153.2281343564391,0.6441055107872047
17031020702,1,436.95057356357574,179.25370563566685,0.5897620543812248
17031020801,1,712.942387342453,279.32185927033424,0.6082125789833766
17031020802,1,515.4496598243713,200.9380340576172,0.6101694312378
17031020901,1,319.4835670441389,153.63945066928864,0.5191006157507242
17031020902,1,388.6281518936157,182.589097738266,0.5301701720562733
17031030101,1,691.5045484304428,272.1920457482338,0.6063770710314957
17031030102,1,492.0565528869629,199.1937279701233,0.5951812310974693
17031030104,1,331.26447582244873,148.33845555782318,0.5522053634349562
17031030200,1,1421.644357085228,593.0324267745018,0.5828545839759913
17031030300,1,456.590029835701,214.16058611869812,0.530956498993722
17031030400,1,658.6505444049835,191.32971197366714,0.7095125577607896
17031030500,1,1399.3556690216064,605.9675788879395,0.5669667173952878
17031030601,1,496.2444181442261,223.8153715133667,0.5489815838123582
17031030603,1,232.58147060871124,137.16457676887512,0.41025148559819247
17031030604,1,602.5527629852295,262.17843705415726,0.5648871714482802
17031030701,1,228.40125274658203,97.49016046524048,0.5731627594293071
17031030703,1,556.7197933197021,227.654851436615,0.591078215345791
17031030800,1,1230.0000116825104,468.99999874830246,0.6186991916310961
17031030900,1,789.3494572639465,309.6702865958214,0.6076892385924929
17031031000,1,1008.9999904632568,402.9999955892563,0.6005946487628518
17031031100,1,918.8717873096466,522.8229477405548,0.43101643236721665
17031031200,1,724.1740183830261,345.0422064065933,0.5235368880300045
17031031300,1,1356.3568983078003,561.8292503356934,0.5857806665512335
